step,instrument,label
0,Guitar,0
1,Guitar,0
2,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
4,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
4,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
4,Guitar,0
0,Guitar,0
1,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
4,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
4,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
3,Guitar,0
0,Guitar,0
1,Guitar,0
2,Guitar,0
